kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#993333,#993333,#993333,#993333,40.786501,-73.945466
#993333,#993333,#993333,#993333,40.675146,-73.918003
#993333,#993333,#993333,#993333,40.709186,-73.819156
#993333,#993333,#993333,#993333,40.749755,-73.985615
#993333,#993333,#993333,#993333,40.69965,-73.938317
#993333,#993333,#993333,#993333,40.70887,-73.942601
#993333,#993333,#993333,#993333,40.865841,-73.895999
#993333,#993333,#993333,#993333,40.689453,-73.955123
#993333,#993333,#993333,#993333,40.833336,-73.917161
#993333,#993333,#993333,#993333,40.836266,-73.911329
#993333,#993333,#993333,#993333,40.685785,-73.867795
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.677605,-73.828219
#993333,#993333,#993333,#993333,40.636594,-73.961132
#993333,#993333,#993333,#993333,40.597319,-73.985375
#993333,#993333,#993333,#993333,40.67967,-73.936136
#993333,#993333,#993333,#993333,40.638278,-74.078791
#993333,#993333,#993333,#993333,40.854068,-73.91505
#993333,#993333,#993333,#993333,40.850367,-73.917256
#993333,#993333,#993333,#993333,40.812699,-73.92162
#993333,#993333,#993333,#993333,40.769306,-73.915508
#993333,#993333,#993333,#993333,40.842979,-73.91458
#993333,#993333,#993333,#993333,40.669838,-73.914693
#993333,#993333,#993333,#993333,40.660119,-73.914608
#993333,#993333,#993333,#993333,40.695288,-73.814571
#993333,#993333,#993333,#993333,40.672296,-73.929406
#993333,#993333,#993333,#993333,40.788721,-73.939997
#993333,#993333,#993333,#993333,40.887043,-73.854129
#993333,#993333,#993333,#993333,40.64733,-73.897
#993333,#993333,#993333,#993333,40.856033,-73.888449
#993333,#993333,#993333,#993333,40.700602,-73.854566
#993333,#993333,#993333,#993333,40.670167,-73.930994
#993333,#993333,#993333,#993333,40.668884,-73.932506
#993333,#993333,#993333,#993333,40.671337,-73.936451
#993333,#993333,#993333,#993333,40.655244,-73.95978
#993333,#993333,#993333,#993333,40.71812,-73.95743
#993333,#993333,#993333,#993333,40.799456,-73.966437
#993333,#993333,#993333,#993333,40.769265,-73.933086
#993333,#993333,#993333,#993333,40.57978,-73.998425
#993333,#993333,#993333,#993333,40.840542,-73.862923
#993333,#993333,#993333,#993333,40.822759,-73.910483
#993333,#993333,#993333,#993333,40.79679,-73.939404
#993333,#993333,#993333,#993333,40.67279,-73.773652
#993333,#993333,#993333,#993333,40.682149,-73.927409
#993333,#993333,#993333,#993333,40.829885,-73.936762
#993333,#993333,#993333,#993333,40.652698,-73.962842
#993333,#993333,#993333,#993333,40.826829,-73.925347
#993333,#993333,#993333,#993333,40.690331,-73.940954
#993333,#993333,#993333,#993333,40.675728,-73.921496
#993333,#993333,#993333,#993333,40.887451,-73.847608
#993333,#993333,#993333,#993333,40.679163,-73.890093
#993333,#993333,#993333,#993333,40.838424,-73.866531
#993333,#993333,#993333,#993333,40.875121,-73.908995
#993333,#993333,#993333,#993333,40.808374,-73.926996
#993333,#993333,#993333,#993333,40.639005,-73.957859
#993333,#993333,#993333,#993333,40.663057,-73.923641
#993333,#993333,#993333,#993333,40.789295,-73.940314
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.636377,-73.961582
#993333,#993333,#993333,#993333,40.825259,-73.925793
#993333,#993333,#993333,#993333,40.900261,-73.845451
#993333,#993333,#993333,#993333,40.666091,-73.877365
#993333,#993333,#993333,#993333,40.665043,-73.892135
#993333,#993333,#993333,#993333,40.636982,-73.976193
#993333,#993333,#993333,#993333,40.844259,-73.881063
#993333,#993333,#993333,#993333,40.615326,-74.099496
#993333,#993333,#993333,#993333,40.722654,-73.840434
#993333,#993333,#993333,#993333,40.683799,-73.961891
#993333,#993333,#993333,#993333,40.816068,-73.908552
#993333,#993333,#993333,#993333,40.842445,-73.912199
#993333,#993333,#993333,#993333,40.842445,-73.912199
#993333,#993333,#993333,#993333,40.709469,-73.940137
#993333,#993333,#993333,#993333,40.81567,-73.936569
#993333,#993333,#993333,#993333,40.667576,-73.907296
#993333,#993333,#993333,#993333,40.871249,-73.836989
#993333,#993333,#993333,#993333,40.634384,-73.922712
#993333,#993333,#993333,#993333,40.82189,-73.859262
#993333,#993333,#993333,#993333,40.693801,-73.974405
#993333,#993333,#993333,#993333,40.715544,-73.747765
#993333,#993333,#993333,#993333,40.701171,-73.835267
#993333,#993333,#993333,#993333,40.636762,-73.920576
#993333,#993333,#993333,#993333,40.67609,-73.906127
#993333,#993333,#993333,#993333,40.660816,-73.915282
#993333,#993333,#993333,#993333,40.672133,-73.907499
#993333,#993333,#993333,#993333,40.690492,-73.939533
#993333,#993333,#993333,#993333,40.835505,-73.939188
#993333,#993333,#993333,#993333,40.694204,-73.908077
#993333,#993333,#993333,#993333,40.704518,-73.771337
#993333,#993333,#993333,#993333,40.648421,-73.904897
#993333,#993333,#993333,#993333,40.697379,-73.917842
#993333,#993333,#993333,#993333,40.804046,-73.93662
#993333,#993333,#993333,#993333,40.728251,-74.005374
#993333,#993333,#993333,#993333,40.83247,-73.904244
#993333,#993333,#993333,#993333,40.671927,-73.930834
#993333,#993333,#993333,#993333,40.869173,-73.89022
#993333,#993333,#993333,#993333,40.701229,-73.924611
#993333,#993333,#993333,#993333,40.634631,-73.9532
#993333,#993333,#993333,#993333,40.703859,-73.944376
#993333,#993333,#993333,#993333,40.699697,-73.912051
#993333,#993333,#993333,#993333,40.88932,-73.900303
#993333,#993333,#993333,#993333,40.851316,-73.902117
#993333,#993333,#993333,#993333,40.595492,-73.935158
#993333,#993333,#993333,#993333,40.659145,-73.960542
#993333,#993333,#993333,#993333,40.718564,-73.988201
#993333,#993333,#993333,#993333,40.772876,-73.930025
#993333,#993333,#993333,#993333,40.827889,-73.875192
#993333,#993333,#993333,#993333,40.595114,-73.759541
#993333,#993333,#993333,#993333,40.632802,-73.950128
#993333,#993333,#993333,#993333,40.824747,-73.898853
#993333,#993333,#993333,#993333,40.673341,-73.932083
#993333,#993333,#993333,#993333,40.664527,-73.947739
#993333,#993333,#993333,#993333,40.750189,-73.890084
#993333,#993333,#993333,#993333,40.674293,-73.961766
#993333,#993333,#993333,#993333,40.672945,-73.968926
#993333,#993333,#993333,#993333,40.665023,-73.957111
#993333,#993333,#993333,#993333,40.760674,-73.971568
#993333,#993333,#993333,#993333,40.75412,-73.990213
#993333,#993333,#993333,#993333,40.674459,-73.93891
#993333,#993333,#993333,#993333,40.778722,-73.812342
#993333,#993333,#993333,#993333,40.598673,-73.757904
#993333,#993333,#993333,#993333,40.593025,-73.979089
#993333,#993333,#993333,#993333,40.641892,-74.006498
#993333,#993333,#993333,#993333,40.819435,-73.911174
#993333,#993333,#993333,#993333,40.821799,-73.919373
#993333,#993333,#993333,#993333,40.849427,-73.911123
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.649944,-73.9616
#993333,#993333,#993333,#993333,40.84491,-73.890098
#993333,#993333,#993333,#993333,40.795815,-73.937101
#993333,#993333,#993333,#993333,40.69422,-73.982119
#993333,#993333,#993333,#993333,40.69422,-73.982119
#993333,#993333,#993333,#993333,40.69422,-73.982119
#993333,#993333,#993333,#993333,40.865029,-73.892761
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.828874,-73.906804
#993333,#993333,#993333,#993333,40.709984,-73.996441
#993333,#993333,#993333,#993333,40.801756,-73.93426
#993333,#993333,#993333,#993333,40.766729,-73.912692
#993333,#993333,#993333,#993333,40.860331,-73.910461
#993333,#993333,#993333,#993333,40.837073,-73.850159
#993333,#993333,#993333,#993333,40.704267,-73.893554
#993333,#993333,#993333,#993333,40.586466,-73.816522
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.74308,-73.954736
#993333,#993333,#993333,#993333,40.658193,-74.001032
#993333,#993333,#993333,#993333,40.683879,-74.000326
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.630367,-73.973713
#993333,#993333,#993333,#993333,40.658193,-74.001032
#993333,#993333,#993333,#993333,40.756875,-73.970544
#993333,#993333,#993333,#993333,40.586466,-73.816522
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.658193,-74.001032
#993333,#993333,#993333,#993333,40.837324,-73.919831
#993333,#993333,#993333,#993333,40.734226,-74.005407
#993333,#993333,#993333,#993333,40.78926,-73.94771
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.594145,-73.960415
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.586466,-73.816522
#993333,#993333,#993333,#993333,40.887451,-73.847608
#993333,#993333,#993333,#993333,40.688872,-73.944529
#993333,#993333,#993333,#993333,40.753939,-73.994844
#993333,#993333,#993333,#993333,40.6797,-73.776047
