dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
12.12553,#00111a,#00111a,#00111a,#00111a,40.582123,-73.971711
8.219178,#00111a,#00111a,#00111a,#00111a,40.714722,-73.982528
10.52631,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
9.756097,#00111a,#00111a,#00111a,#00111a,40.712254,-73.983975
9.420289,#00111a,#00111a,#00111a,#00111a,40.759219,-73.96695
13.40206,#00111a,#00111a,#00111a,#00111a,40.677849,-74.004979
4.255319,#00111a,#00111a,#00111a,#00111a,40.692552,-73.958339
0.0,#00111a,#00111a,#00111a,#00111a,40.760319,-73.818037
10.79136,#00111a,#00111a,#00111a,#00111a,40.695447,-73.985602
10.20408,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
2.857142,#00111a,#00111a,#00111a,#00111a,40.601385,-73.763754
14.89361,#00111a,#00111a,#00111a,#00111a,40.729705,-73.845094
10.98901,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
8.215297,#00111a,#00111a,#00111a,#00111a,40.684972,-73.883042
0.0,#00111a,#00111a,#00111a,#00111a,40.818378,-73.950325
2.531645,#00111a,#00111a,#00111a,#00111a,40.794822,-73.933201
13.44537,#00111a,#00111a,#00111a,#00111a,40.827486,-73.919027
12.35955,#00111a,#00111a,#00111a,#00111a,40.855509,-73.926263
11.68831,#00111a,#00111a,#00111a,#00111a,40.821474,-73.949046
10.54852,#00111a,#00111a,#00111a,#00111a,40.815976,-73.955665
6.756756,#00111a,#00111a,#00111a,#00111a,40.674642,-73.783812
4.395604,#00111a,#00111a,#00111a,#00111a,40.763679,-73.990346
2.586206,#00111a,#00111a,#00111a,#00111a,40.8599,-73.860322
6.25,#00111a,#00111a,#00111a,#00111a,40.689255,-73.841151
12.93103,#00111a,#00111a,#00111a,#00111a,40.865616,-73.924801
10.74523,#00111a,#00111a,#00111a,#00111a,40.680817,-73.752528
0.0,#00111a,#00111a,#00111a,#00111a,40.761511,-73.988638
13.68421,#00111a,#00111a,#00111a,#00111a,40.774895,-73.985642
4.296875,#00111a,#00111a,#00111a,#00111a,40.601385,-73.763754
9.459459,#00111a,#00111a,#00111a,#00111a,40.678535,-73.87523
2.702702,#00111a,#00111a,#00111a,#00111a,40.695453,-73.968767
3.333333,#00111a,#00111a,#00111a,#00111a,40.742414,-74.002516
