,lat,lon
0,40.715934,-74.003644
1,40.726793,-74.001093
2,40.714748,-74.013506
3,40.720837,-74.010101
4,40.719079,-74.006302
5,40.72134,-74.011971
6,40.722082,-74.008848
7,40.722655,-73.993898
8,40.715286,-74.01059
9,40.722584,-73.99596
10,40.721772,-74.004369
11,40.716141,-74.013132
12,40.725911,-74.00894
13,40.719868,-74.012295
14,40.72192,-74.005629
15,40.714089,-74.012428
16,40.727891,-74.001888
17,40.716548,-74.010793
18,40.727144,-74.004914
19,40.723388,-74.00606
20,40.723874,-74.00481
21,40.725131,-74.010295
22,40.674758,-73.846234
23,40.677826,-73.840873
24,40.681166,-73.847006
25,40.675718,-73.851076
26,40.673312,-73.840506
27,40.681185,-73.849302
28,40.681766,-73.844559
29,40.678152,-73.858837
30,40.673736,-73.854713
31,40.673114,-73.845696
32,40.670585,-73.840781
33,40.673338,-73.840386
34,40.670944,-73.838968
35,40.673536,-73.856817
36,40.674671,-73.859176
37,40.673313,-73.853
38,40.679125,-73.86352
39,40.672766,-73.844796
40,40.676309,-73.850895
41,40.6781,-73.839892
42,40.678305,-73.840127
43,40.67387,-73.84373
44,40.676985,-73.852852
45,40.67722,-73.841431
46,40.678592,-73.845272
47,40.670679,-73.839852
48,40.677662,-73.842981
49,40.673515,-73.852033
50,40.680683,-73.848074
51,40.676428,-73.838939
52,40.678343,-73.847693
53,40.677641,-73.842702
54,40.726053,-73.943686
55,40.727557,-73.958713
56,40.720594,-73.946713
57,40.735657,-73.956816
58,40.73239,-73.95199
59,40.724109,-73.952077
60,40.725922,-73.95106
61,40.727493,-73.953869
62,40.727469,-73.946008
63,40.73314,-73.952251
64,40.733776,-73.953858
65,40.727248,-73.949501
66,40.735316,-73.954998
67,40.72574,-73.948826
68,40.725731,-73.947851
69,40.728068,-73.93792
70,40.728018,-73.948174
71,40.726225,-73.955472
72,40.724053,-73.942287
73,40.727704,-73.952075
74,40.724313,-73.942457
75,40.729691,-73.952081
76,40.729407,-73.950737
77,40.727874,-73.956397
78,40.732266,-73.955671
79,40.727561,-73.945958
80,40.728354,-73.954497
81,40.728481,-73.95036
82,40.728139,-73.954376
83,40.725562,-73.936949
84,40.73523,-73.954776
85,40.73467,-73.953064
86,40.731446,-73.955649
87,40.871493,-73.9167
88,40.871334,-73.912567
89,40.870958,-73.91182
90,40.871252,-73.919007
91,40.876942,-73.90941
92,40.870216,-73.92026
93,40.867386,-73.92495
94,40.872188,-73.912301
95,40.864885,-73.922178
96,40.87056,-73.916442
97,40.866469,-73.918794
98,40.868305,-73.924036
99,40.871703,-73.915134
100,40.870688,-73.917565
101,40.868857,-73.922055
102,40.875107,-73.912069
103,40.875251,-73.911885
104,40.858497,-73.852503
105,40.865195,-73.847721
106,40.861241,-73.853566
107,40.866994,-73.851031
108,40.862093,-73.831473
109,40.863358,-73.836971
110,40.859446,-73.838979
111,40.861318,-73.837025
112,40.867416,-73.855599
113,40.859115,-73.837112
114,40.859298,-73.853955
115,40.858978,-73.835362
116,40.867895,-73.860404
117,40.863736,-73.833723
118,40.862842,-73.844279
119,40.864124,-73.845267
120,40.862902,-73.854683
121,40.860636,-73.834008
122,40.859232,-73.840636
123,40.860872,-73.845903
124,40.863579,-73.842267
125,40.861064,-73.849016
126,40.858741,-73.848967
127,40.861379,-73.843384
128,40.867173,-73.858556
129,40.860737,-73.830919
130,40.858628,-73.856118
131,40.868273,-73.848239
132,40.858673,-73.833701
133,40.871259,-73.852878
134,40.860937,-73.842262
135,40.865033,-73.839112
136,40.860174,-73.831435
137,40.865536,-73.856535
138,40.862776,-73.847964
139,40.859915,-73.83721
140,40.863493,-73.842286
141,40.866258,-73.83875
142,40.837505,-73.870087
143,40.830576,-73.871786
144,40.833785,-73.866621
145,40.829633,-73.881263
146,40.829345,-73.882478
147,40.834719,-73.869148
148,40.837671,-73.871535
149,40.832266,-73.879968
150,40.834651,-73.871333
151,40.833505,-73.8667
152,40.835186,-73.875128
153,40.830679,-73.879726
154,40.835033,-73.86799
155,40.837325,-73.871597
156,40.833089,-73.865683
157,40.831033,-73.872871
158,40.732224,-74.01036
159,40.73401,-74.004789
160,40.735619,-74.00299
161,40.728878,-74.007713
162,40.732858,-73.996083
163,40.733826,-73.994448
164,40.737586,-74.004386
165,40.731069,-74.007535
166,40.737495,-74.007858
167,40.738168,-74.004554
168,40.729498,-74.006487
169,40.732893,-74.004147
170,40.739254,-74.005515
171,40.733232,-74.009311
172,40.734643,-74.009722
173,40.73399,-73.998777
174,40.728641,-73.995289
175,40.735698,-74.010058
176,40.738173,-74.007385
177,40.730803,-74.005124
178,40.735305,-74.003218
179,40.730854,-74.005285
180,40.734649,-73.992688
181,40.73369,-74.001116
182,40.736346,-74.006881
183,40.737493,-74.007085
184,40.734903,-74.010124
185,40.732756,-74.005694
186,40.736432,-74.002091
187,40.731185,-74.000029
188,40.729881,-73.998361
189,40.737267,-74.006556
190,40.740919,-74.008819
191,40.728899,-74.007929
192,40.736531,-73.998868
193,40.738404,-74.005448
194,40.730674,-74.009105
195,40.737636,-74.003058
196,40.703359,-73.905849
197,40.700408,-73.907676
198,40.704761,-73.906799
199,40.70472,-73.903276
200,40.696937,-73.900215
201,40.710178,-73.896072
202,40.70946,-73.919824
203,40.701398,-73.896836
204,40.710912,-73.902803
205,40.70876,-73.920548
206,40.708775,-73.899297
207,40.703905,-73.907675
208,40.705459,-73.911
209,40.69838,-73.902204
210,40.709953,-73.900651
211,40.707115,-73.914853
212,40.697085,-73.895904
213,40.70555,-73.912204
214,40.701591,-73.901457
215,40.716047,-73.910275
216,40.701911,-73.897341
217,40.705214,-73.894333
218,40.699396,-73.90181
219,40.704683,-73.90013
220,40.706334,-73.897805
221,40.69836,-73.908579
222,40.703838,-73.90893
223,40.712379,-73.907496
224,40.706949,-73.907769
225,40.709754,-73.901483
226,40.70463,-73.893946
227,40.702445,-73.895504
228,40.707993,-73.908124
229,40.701054,-73.898031
230,40.710888,-73.916146
231,40.700553,-73.904603
232,40.713869,-73.922745
233,40.707556,-73.911077
234,40.708283,-73.897819
235,40.70267,-73.905525
236,40.700281,-73.899978
237,40.70651,-73.893893
238,40.711659,-73.89413
239,40.698165,-73.90278
240,40.705356,-73.911878
241,40.71093,-73.902957
242,40.698073,-73.901525
243,40.706564,-73.914626
244,40.704275,-73.907835
245,40.709235,-73.894877
246,40.708236,-73.909356
247,40.704533,-73.911786
248,40.70937,-73.896934
249,40.705715,-73.900308
250,40.709116,-73.915425
251,40.701655,-73.900889
252,40.707421,-73.901836
253,40.704771,-73.891559
254,40.711145,-73.908598
255,40.704979,-73.89522
256,40.701559,-73.908528
257,40.708196,-73.901431
258,40.709294,-73.903402
259,40.705449,-73.901227
260,40.687421,-73.727526
261,40.70058,-73.741799
262,40.698865,-73.732794
263,40.689302,-73.732108
264,40.696156,-73.733445
265,40.685977,-73.728462
266,40.69541,-73.727778
267,40.697193,-73.727784
268,40.689162,-73.732745
269,40.696558,-73.737438
270,40.687751,-73.739981
271,40.701176,-73.73745
272,40.696109,-73.741572
273,40.687855,-73.733875
274,40.687487,-73.731915
275,40.689547,-73.740275
276,40.699571,-73.743432
277,40.696472,-73.734287
278,40.696838,-73.745517
279,40.687308,-73.730997
280,40.694644,-73.73537
281,40.698281,-73.74302
282,40.698139,-73.743914
283,40.693333,-73.727595
284,40.68654,-73.729515
285,40.699254,-73.737039
286,40.690567,-73.729428
287,40.692534,-73.733312
288,40.695294,-73.743682
289,40.687052,-73.73719
290,40.686017,-73.729118
291,40.685696,-73.727533
292,40.686732,-73.727266
293,40.736592,-73.779209
294,40.733664,-73.774298
295,40.732769,-73.77387
296,40.73636,-73.772243
297,40.741111,-73.778983
298,40.733773,-73.789159
299,40.731891,-73.780013
300,40.739504,-73.784827
301,40.733363,-73.790969
302,40.732472,-73.783819
303,40.731674,-73.776209
304,40.740834,-73.776307
305,40.733312,-73.774303
306,40.734289,-73.774594
307,40.736447,-73.784611
308,40.736683,-73.792004
309,40.733464,-73.786283
310,40.735612,-73.791289
311,40.731811,-73.791484
312,40.732091,-73.7845
313,40.735217,-73.776778
314,40.732169,-73.782466
315,40.733565,-73.793153
316,40.737107,-73.788009
317,40.731696,-73.791296
318,40.742305,-73.775249
319,40.72706,-73.78804
320,40.731502,-73.792198
321,40.841473,-73.898925
322,40.853798,-73.89132
323,40.856567,-73.893787
324,40.836594,-73.90227
325,40.841995,-73.904972
326,40.852152,-73.896438
327,40.847798,-73.89671
328,40.853481,-73.894292
329,40.837514,-73.901563
330,40.859852,-73.89149
331,40.840889,-73.900285
332,40.830806,-73.904838
333,40.832152,-73.907658
334,40.848456,-73.898574
335,40.830054,-73.906415
336,40.841495,-73.900663
337,40.853904,-73.893503
338,40.596299,-73.761604
339,40.612491,-73.769051
340,40.605648,-73.7653
341,40.601728,-73.755282
342,40.596998,-73.746148
343,40.611012,-73.745953
344,40.608154,-73.758079
345,40.602266,-73.759421
346,40.60138,-73.760655
347,40.611926,-73.772062
348,40.607435,-73.764958
349,40.606929,-73.767791
350,40.595907,-73.740109
351,40.602813,-73.748461
352,40.599852,-73.759123
353,40.59535,-73.755531
354,40.60446,-73.746712
355,40.609733,-73.750532
356,40.607977,-73.760484
357,40.608897,-73.746879
358,40.600018,-73.751533
359,40.602339,-73.750572
360,40.603198,-73.753973
361,40.607371,-73.749424
362,40.611674,-73.766295
363,40.606907,-73.758525
364,40.598384,-73.752877
365,40.606643,-73.7656
366,40.604089,-73.741018
367,40.600503,-73.765891
368,40.600766,-73.767283
369,40.602084,-73.745359
370,40.599585,-73.741841
371,40.601562,-73.767035
372,40.612125,-73.770736
373,40.598606,-73.748561
374,40.604319,-73.749289
375,40.596333,-73.748019
376,40.603394,-73.765905
377,40.601001,-73.753762
378,40.59885,-73.740044
379,40.599914,-73.765638
380,40.606856,-73.764132
381,40.604172,-73.76532
382,40.599777,-73.740831
383,40.60131,-73.744636
384,40.608288,-73.749396
385,40.60508,-73.767493
386,40.611182,-73.748182
387,40.65279,-73.948375
388,40.647517,-73.952217
389,40.639004,-73.95213
390,40.645885,-73.951865
391,40.642261,-73.950508
392,40.644902,-73.951465
393,40.644792,-73.947885
394,40.652902,-73.946373
395,40.638896,-73.950145
396,40.645097,-73.950517
397,40.648997,-73.954771
398,40.641125,-73.953424
399,40.642835,-73.951716
400,40.61829,-74.142987
401,40.631406,-74.133387
402,40.631337,-74.140431
403,40.626248,-74.143583
404,40.610998,-74.149732
405,40.620063,-74.147255
406,40.636025,-74.137184
407,40.636819,-74.135374
408,40.622455,-74.146568
409,40.624106,-74.145928
410,40.62298,-74.14648
411,40.629445,-74.139216
412,40.633261,-74.140118
413,40.613711,-74.14904
414,40.61576,-74.150258
415,40.631839,-74.140997
416,40.616385,-74.150892
417,40.618151,-74.14981
418,40.62144,-74.14457
419,40.638318,-74.130298
420,40.617034,-74.143306
421,40.636435,-74.140646
422,40.636131,-74.136665
423,40.622609,-74.139155
424,40.63299,-74.132546
425,40.610996,-74.150562
426,40.615508,-74.146296
427,40.635047,-74.137923
428,40.633298,-74.133115
429,40.616518,-74.150864
430,40.664376,-73.945374
431,40.665335,-73.942648
432,40.665724,-73.939553
433,40.664888,-73.940672
434,40.665319,-73.950602
435,40.669207,-73.960399
436,40.665241,-73.9492
437,40.670372,-73.957088
438,40.663846,-73.937379
439,40.665132,-73.93988
440,40.66373,-73.935255
