,DayofWeek,OccurrenceMonth,OccurrenceDay,OccurrenceYear,OccurrenceHour,Offense,Borough,lat,lon
29343,Thursday,Jan,15,2015,200,BURGLARY,Manhattan,40.709937533,-74.008982852
26293,Saturday,Aug,22,2015,200,FELONY ASSAULT,Manhattan,40.799271863,-73.930036667
7941,Sunday,Jun,7,2015,2200,ROBBERY,Manhattan,40.791642943,-73.96256189
62226,Tuesday,Jul,14,2015,1700,GRAND LARCENY,Manhattan,40.743418414,-73.998002172
22399,Monday,Jun,22,2015,1400,FELONY ASSAULT,Manhattan,40.765681734,-73.966655793
55711,Monday,May,18,2015,1300,GRAND LARCENY,Manhattan,40.762091746,-73.978829885
57768,Friday,Jun,5,2015,1400,GRAND LARCENY,Manhattan,40.763792658,-73.997416757
9317,Wednesday,Jul,8,2015,2000,ROBBERY,Manhattan,40.843828558,-73.937749605
70964,Sunday,Sep,27,2015,0,GRAND LARCENY,Manhattan,40.759768442,-73.989811298
43002,Wednesday,Jan,14,2015,1500,GRAND LARCENY,Manhattan,40.763800684,-73.973786302
56591,Tuesday,May,26,2015,1600,GRAND LARCENY,Manhattan,40.750430768,-73.989282176
42085,Monday,Jan,5,2015,1400,GRAND LARCENY,Manhattan,40.798483162,-73.949147471
22846,Monday,Jun,29,2015,2200,FELONY ASSAULT,Manhattan,40.781824561,-73.947318642
2346,Wednesday,Jan,21,2015,500,ROBBERY,Manhattan,40.815669885,-73.936569294
50480,Wednesday,Apr,1,2015,1300,GRAND LARCENY,Manhattan,40.790337952,-73.967513779
10162,Sunday,Jul,26,2015,300,ROBBERY,Manhattan,40.799651463,-73.960755072
53848,Friday,May,1,2015,2000,GRAND LARCENY,Manhattan,40.746319478,-73.994039447
69516,Saturday,Sep,12,2015,1600,GRAND LARCENY,Manhattan,40.735999287,-73.99573271
64870,Tuesday,Aug,4,2015,800,GRAND LARCENY,Manhattan,40.830905528,-73.936052486
36896,Thursday,Jul,30,2015,1900,BURGLARY,Manhattan,40.760391917,-73.997276108
11985,Saturday,Aug,29,2015,1900,ROBBERY,Manhattan,40.805436606,-73.939920299
60448,Monday,Jun,29,2015,900,GRAND LARCENY,Manhattan,40.743118564,-73.987395957
39693,Saturday,Sep,1,2012,0,GRAND LARCENY,Manhattan,40.822295411,-73.953342128
40495,Wednesday,Oct,15,2014,700,GRAND LARCENY,Manhattan,40.74219698,-73.97468255
50682,Friday,Apr,3,2015,900,GRAND LARCENY,Manhattan,40.751553812,-74.003589037
18950,Friday,Apr,24,2015,100,FELONY ASSAULT,Manhattan,40.747729682,-73.986839293
59366,Friday,Jun,19,2015,2000,GRAND LARCENY,Manhattan,40.729979851,-73.992139452
22813,Monday,Jun,29,2015,600,FELONY ASSAULT,Manhattan,40.797727166,-73.946507862
61505,Wednesday,Jul,8,2015,1500,GRAND LARCENY,Manhattan,40.72601663,-73.996285351
18368,Monday,Apr,13,2015,1100,FELONY ASSAULT,Manhattan,40.814715642,-73.938264545
47751,Thursday,Mar,5,2015,0,GRAND LARCENY,Manhattan,40.759425516,-73.991915788
63020,Tuesday,Jul,21,2015,400,GRAND LARCENY,Manhattan,40.763559272,-73.994933158
13407,Sunday,Sep,27,2015,200,ROBBERY,Manhattan,40.847586549,-73.933697898
50497,Wednesday,Apr,1,2015,1500,GRAND LARCENY,Manhattan,40.711699719,-74.008348243
49549,Monday,Mar,23,2015,1500,GRAND LARCENY,Manhattan,40.82265698,-73.945418344
50240,Monday,Mar,30,2015,1400,GRAND LARCENY,Manhattan,40.720255223,-74.00709028
44016,Friday,Jan,23,2015,2300,GRAND LARCENY,Manhattan,40.802960428,-73.965672707
41799,Friday,Jan,2,2015,1400,GRAND LARCENY,Manhattan,40.818815405,-73.95408521
43897,Thursday,Jan,22,2015,1900,GRAND LARCENY,Manhattan,40.793979332,-73.938446293
30324,Wednesday,Feb,11,2015,1400,BURGLARY,Manhattan,40.808142838,-73.945300203
67967,Saturday,Aug,29,2015,1600,GRAND LARCENY,Manhattan,40.748297991,-73.988178144
75640,Saturday,Aug,15,2015,1000,GRAND LARCENY OF MOTOR VEHICLE,Manhattan,40.864394801,-73.916330984
40018,Wednesday,Jun,4,2014,0,GRAND LARCENY,Manhattan,40.758144054,-73.964598483
40763,Thursday,Nov,20,2014,800,GRAND LARCENY,Manhattan,40.785649014,-73.956368625
11157,Friday,Aug,14,2015,300,ROBBERY,Manhattan,40.713854175,-74.010563335
22256,Saturday,Jun,20,2015,600,FELONY ASSAULT,Manhattan,40.856997627,-73.928251606
6846,Thursday,May,14,2015,1700,ROBBERY,Manhattan,40.806046998,-73.954187936
65370,Saturday,Aug,8,2015,100,GRAND LARCENY,Manhattan,40.72359521,-73.988200564
46391,Thursday,Feb,19,2015,200,GRAND LARCENY,Manhattan,40.757152971,-73.993562017
67995,Saturday,Aug,29,2015,2200,GRAND LARCENY,Manhattan,40.72668063,-74.008202197
70988,Sunday,Sep,27,2015,1200,GRAND LARCENY,Manhattan,40.739724339,-73.976476965
52520,Monday,Apr,20,2015,1600,GRAND LARCENY,Manhattan,40.76228795,-73.962484533
8014,Tuesday,Jun,9,2015,2300,ROBBERY,Manhattan,40.873031141,-73.918460693
56502,Monday,May,25,2015,2000,GRAND LARCENY,Manhattan,40.741960877,-74.004609789
56290,Saturday,May,23,2015,1500,GRAND LARCENY,Manhattan,40.762976076,-73.981894378
6251,Friday,May,1,2015,1400,ROBBERY,Manhattan,40.819325303,-73.946295403
8655,Wednesday,Jun,24,2015,400,ROBBERY,Manhattan,40.750969221,-73.998077739
64807,Monday,Aug,3,2015,1500,GRAND LARCENY,Manhattan,40.737023123,-73.997093032
44120,Sunday,Jan,25,2015,800,GRAND LARCENY,Manhattan,40.781640008,-73.945903325
71103,Monday,Sep,28,2015,1800,GRAND LARCENY,Manhattan,40.732652035,-73.981563444
43761,Wednesday,Jan,21,2015,1500,GRAND LARCENY,Manhattan,40.755676965,-73.977189616
44085,Saturday,Jan,24,2015,1800,GRAND LARCENY,Manhattan,40.7682657,-73.985466988
46354,Wednesday,Feb,18,2015,1800,GRAND LARCENY,Manhattan,40.798801507,-73.973588318
66266,Saturday,Aug,15,2015,400,GRAND LARCENY,Manhattan,40.750927823,-73.992530384
49437,Sunday,Mar,22,2015,1200,GRAND LARCENY,Manhattan,40.7587596,-73.97868295
59161,Thursday,Jun,18,2015,1100,GRAND LARCENY,Manhattan,40.775744884,-73.983735901
58412,Thursday,Jun,11,2015,0,GRAND LARCENY,Manhattan,40.739970802,-74.007139291
