centerColors,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6
#00111a,-73.80879912977493,40.69382987601455,-73.97480581940776,40.73624440783676,-73.77810650582582,40.70176466538979,-73.9402804765701,40.7948188069965
#0077b3,-73.96483722645151,40.70007431748013,-73.93404994526227,40.644453161931985,-73.9021962694783,40.84003974801061,-73.9565963841037,40.63619604541793
#66ccff,-73.90663486222529,40.83540983393122,-73.9021962694783,40.84003974801061,-73.95826681430114,40.64401994472493,-73.78866274370878,40.688569305288986
#e6f7ff,,,-73.79848651667841,40.70212811491739,-73.97673080148368,40.739721664633734,-73.98368306285404,40.73083881927623
#0000ff,,,,,-73.87650687406135,40.678470187017666,-73.89532147070551,40.6916250006807
#9933ff,,,,,,,-73.89338757588732,40.84787290808989
