centerColors,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6
#d5f4e6,-73.89525546448817,40.838643388079625,-73.95652345180356,40.652354553126415,-73.89251502483383,40.84193660567083,-74.01518271168484,40.60425523805287
#80ced6,-73.97227624891713,40.697461215698766,-73.89221770477742,40.84208229948767,-73.80453742325442,40.71992025926724,-73.89101518825318,40.84305261699398
#fefbd8,-73.83377079960665,40.69403272161237,-73.81830164512435,40.703776207182585,-73.92312553188347,40.659939663213535,-73.98363703805164,40.71232413478178
#618685,,,-73.97433036381186,40.74222073903048,-73.97620547718122,40.736569189374485,-73.80453742325442,40.71992025926724
#92a8d1,,,,,-74.01518271168484,40.60425523805287,-73.91806209255995,40.656671577673706
#034f84,,,,,,,-73.95814009133062,40.77174655199206
