centerColors,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6
#004d00,-74.15116322988506,40.573336449233715,-73.95304641080038,40.66061205593057,-73.9544541493803,40.64088302283105,-73.96761258072101,40.638380554858934
#c6ecd9,-73.82914379381762,40.7604863301391,-74.15116322988506,40.573336449233715,-73.87912021570577,40.84470062524851,-73.77208801329601,40.72086982505248
#33ff33,-73.9522121216545,40.67697355758313,-73.89946563937282,40.81314045876887,-74.15116322988506,40.573336449233715,-73.87592900102986,40.84522058908342
#e6ff99,,,-73.78999326929134,40.71351852860892,-73.78790982048517,40.71334004851752,-73.95508452941176,40.76007639651416
#00cc00,,,,,-73.93442188217291,40.74529592807957,-74.15116322988506,40.573336449233715
#e6ffe6,,,,,,,-73.87186376061427,40.69235246522132
