centerColors,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6
#993333,-73.90426102456544,40.827190133314176,-73.90296154626466,40.82967527550869,-73.8945053092408,40.84157837749233,-73.89455359946595,40.841344514400156
#ff6666,-73.96970498266352,40.66847922064618,-74.04227679305555,40.6110413125,-73.94932988043479,40.76309675607417,-73.9032811223301,40.68874223522885
#330011,-73.81702358762553,40.6878513090379,-73.93931584010195,40.68861694664401,-73.79361820557804,40.68743500539811,-73.78607465133906,40.68350106973219
#ffe6ee,,,-73.79704433832977,40.68708964154175,-74.04588406776034,40.61369039229672,-73.97173421666666,40.64025091
#ff8000,,,,,-73.92760050384268,40.668572953661844,-73.96251353713629,40.765502381317
#fff2e6,,,,,,,-74.12117101083032,40.613971292418775
