centerColors,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6
#1a0d00,-73.90851191327201,40.826529017301795,-73.82821148101644,40.703608316591925,-73.9751327333203,40.74824837350812,-73.78976997803404,40.70488780834706
#b35900,-73.9794811370826,40.689455544463975,-73.89810428579388,40.83999721643454,-73.95163186264355,40.65364712925017,-73.97946915801495,40.74739936731728
#ffbf80,-73.82718127430134,40.70420444410693,-73.96838221343147,40.73206229960135,-73.81921680681431,40.7093300350937,-73.89591981947261,40.84182563141118
#fff2e6,,,-73.99484573228882,40.624320657697545,-74.13056921584159,40.60004701188119,-73.9667669332465,40.64071866558125
#808000,,,,,-73.89555377006762,40.84228869832402,-73.89570125897436,40.70271308168498
#ffff99,,,,,,,-74.13075014880953,40.60001101984127
