centerColors,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6
#ffffff,-73.83040837623763,40.66662477475248,-73.91250856985295,40.81513427665441,-73.93388959978655,40.68010758271078,-73.97118240521327,40.70529262559242
#9900cc,-73.91287198522622,40.81539824930748,-73.93533643736951,40.68153046450939,-73.9432629022082,40.79673969716088,-73.90679579591837,40.66323164007421
#d98cb3,-73.96632053618421,40.673776737938596,-74.05883023287672,40.60394023972603,-73.78240979710145,40.67115722222222,-73.93940077743902,40.80037990396342
#ff9999,,,-73.78240979710145,40.67115722222222,-73.87532293894736,40.83658632631579,-73.7814177745098,40.67019798039215
#ccccff,,,,,-74.05883023287672,40.60394023972603,-73.87167225462963,40.83753906481481
#660066,,,,,,,-74.05883023287672,40.60394023972603
